sku,revenue
NR1915,25.81
NR2398,25.45
KIT0424,25.1
NR4465,25.08
NR3970,25.05
NR1680,23.65
CPP0562,23.36
NR4574,23.31
NR5644,22.84
NR4486,22.5
KIT0199,22.14
NR5210,21.11
NR3089,21.11
NR3135,20.26
NR4922,20.199999999999996
NR0994,19.94
NR2810,19.8
NR0820,19.66
NR4813,19.5
NR5201,19.49
NR5063,19.26
NR3128,18.22
NR1072,18.05
NR3472,17.61
NR1174,17.36
NR3908,15.7
NR4485,15.44
NR4089,14.96
NR4494,13.75
NR0758,13.63
NR1869-1,12.69
NR5468,12.44
NR2079,12.3
NR1114,12.3
NR4517,12.18
NR4471,12.07
NR4529-1,11.85
NR4498,11.8
NR4489,11.25
NR4487,11.25
NR3236,11.25
NR4490,11.21
NR4528-1,11.02
NR4213,9.230000000000004
kit0368,0.0
QUEIMA,0.0
NR5635,0.0
NR5527,0.0
NR5523-2,0.0
NR5426,0.0
NR5399,0.0
NR5276,0.0
NR5164,0.0
NR4907,0.0
NR4807,0.0
NR4531,0.0
NR4333-2,0.0
NR4283,0.0
NR4061,0.0
NR3857,0.0
NR3804,0.0
NR3752,0.0
NR3593,0.0
NR3271,0.0
NR3193,0.0
NR2721,0.0
NR2421-1,0.0
NR2183,0.0
NR2125,0.0
NR1800,0.0
NR1749-1,0.0
NR1216,0.0
NR1100-C,0.0
KIT0437-1,0.0
KIT0354,0.0
KIT0340,0.0
CPP0340,0.0
NR3977,-9.9
NR0212-1,-15.96
NR1175,-37.89
NR5172,-43.2
NR3733,-66.1
CP0243,-67.35
NR3692-2,-68.0
NR1210,-68.0
KIT0154,-133.35
